job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Full stack & Backend Java Developers / Software Engineer - Fintech,Satago,https://www.linkedin.com/company/satago-ltd/life/,"London Area, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQHr5S67uMxDmQ/company-logo_100_100/0/1645639049710?e=1675900800&v=beta&t=7X9E20Cs1npCFYxIk1e6vb4DDpujlh2kNOrpoulLeIA,Remote,1 month ago,5 applicants,Full-time · Mid-Senior level
Back End Developer,Identify Solutions,https://www.linkedin.com/company/identify-solutions-ltd/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/D4E0BAQH1Vbu5vuDntg/company-logo_100_100/0/1667297984983?e=1675900800&v=beta&t=WP6jbQN9uSXf0ywgap1GO2rvcBipUyJ-TYNnuugiSDU,Hybrid,1 week ago,54 applicants,"£90,000/yr - £100,000/yr · Full-time · Mid-Senior level"
Back End Developer - Golang,Micro IT Global,https://www.linkedin.com/company/micro-it-global/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4E0BAQFyT4UPy6CjfA/company-logo_100_100/0/1537430626986?e=1675900800&v=beta&t=hlPyzRVCeulX1UnMDQfvqLxH6cKz9cSF4QUweK6zBrI,Remote,1 week ago,61 applicants,Contract · Mid-Senior level
Backend Software Engineer (Java) - FinTech start up,Synchro,https://www.linkedin.com/company/wearesynchro/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQFVvN8WmY_DYg/company-logo_100_100/0/1662734304876?e=1675900800&v=beta&t=oPvCNKrzm82n_8U66-32-PTiyTBXFStCckZFSOwPPiA,Hybrid,2 weeks ago,135 applicants,"£80,000/yr - £145,000/yr · Full-time · Mid-Senior level"
Unity Developer - Remote,Whitecollars,https://www.linkedin.com/company/whitecollarshrm/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4D0BAQExbpeMkC19QQ/company-logo_100_100/0/1647810132291?e=1675900800&v=beta&t=U4UGyDEZVpF-7UoV9VMfSjI0xC2lJ9bAZvvP5nGYE0Q,Remote,3 days ago,21 applicants,Full-time · Mid-Senior level
Back End Developer,Foster + Partners,https://www.linkedin.com/company/foster-&-partners/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQHKPMh1v9W6mA/company-logo_100_100/0/1656939269810?e=1675900800&v=beta&t=Ta_hiWNEML4QotNRlNizEm9IgOe8zXo58q2YZNy8ww4,On-site,1 week ago,39 applicants,Full-time
Senior Full Stack Developer – Rapidly Growing FinTech,Understanding Recruitment,https://www.linkedin.com/company/understanding-recruitment/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4D0BAQEi98b-tf2v4w/company-logo_100_100/0/1663686753983?e=1675900800&v=beta&t=ItHTCSDe63_glYtHTB_hQNKP-t1DpC3sMZyjWJdQDPA,Remote,3 weeks ago,33 applicants,"£70,000/yr - £100,000/yr · Full-time · Mid-Senior level"
Back End Developer,Opus Recruitment Solutions,https://www.linkedin.com/company/opus-recruitment-solutions/life/,"Croydon, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQHM_oqVxH6cXA/company-logo_100_100/0/1519887505044?e=1675900800&v=beta&t=Atjci9x8wM8f1AQ6PIjxECEf5sSYytXeuZLevjURqVw,Hybrid,22 hours ago,52 applicants,Full-time · Mid-Senior level
Back End Developer,Venchr,https://www.linkedin.com/company/venchrpartners/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQHH1QH2eZwFlQ/company-logo_100_100/0/1613046033360?e=1675900800&v=beta&t=BMTXqHxTPtN-vjed_4j8auuqAY7p40ubZ5b7kMdtXdk,Hybrid,1 week ago,74 applicants,"£80,000/yr - £90,000/yr · Full-time · Mid-Senior level"
Full-Stack Developer,Emotech LTD,https://www.linkedin.com/company/emotech-ltd/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C510BAQFekCyPeeiyjQ/company-logo_100_100/0/1574136957556?e=1675900800&v=beta&t=oIznytJHUpZjoYdfbxk2XVgvR9DJZTrVrO1pUL2tSbQ,Hybrid,2 weeks ago,27 applicants,Full-time
Game Artist,Push Gaming,https://www.linkedin.com/company/push-gaming-limited/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/D4E0BAQEHizlCd_7Bmw/company-logo_100_100/0/1665500841673?e=1675900800&v=beta&t=WM1s_xExz0f7WwOuvSEaW-OtKF06q66B8ORndq-EqEU,Remote,21 hours ago,127 applicants,Full-time · Mid-Senior level
Unity Developer,Amiqus - Games Recruitment Specialists,https://www.linkedin.com/company/amiqus/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQF5XQV3ECwzeg/company-logo_100_100/0/1621351850794?e=1675900800&v=beta&t=dvlgHc6inwkLLmJhwmIsmajkUrrJt0nuo6brf6h9s5Q,Hybrid,1 month ago,ERR,"£60,000/yr - £80,000/yr · Full-time · Mid-Senior level"
Back End Developer,IIOP,https://www.linkedin.com/company/iiop/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQGn1FzRVNunBg/company-logo_100_100/0/1632911161200?e=1675900800&v=beta&t=Uz1smjf_7KmKmhR0dvYyXNwp80_LhGq2kOYuOuKG0hs,Remote,1 week ago,139 applicants,"£40,000/yr - £45,000/yr · Full-time"
Back End Developer,Understanding Recruitment,https://www.linkedin.com/company/understanding-recruitment/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQEi98b-tf2v4w/company-logo_100_100/0/1663686753983?e=1675900800&v=beta&t=ItHTCSDe63_glYtHTB_hQNKP-t1DpC3sMZyjWJdQDPA,Hybrid,3 weeks ago,27 applicants,"£75,000/yr - £85,000/yr · Full-time · Mid-Senior level"
Back End Developer,Opus Recruitment Solutions,https://www.linkedin.com/company/opus-recruitment-solutions/life/,"Croydon, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQHM_oqVxH6cXA/company-logo_100_100/0/1519887505044?e=1675900800&v=beta&t=Atjci9x8wM8f1AQ6PIjxECEf5sSYytXeuZLevjURqVw,Hybrid,1 week ago,49 applicants,Full-time · Associate
Full Stack JavaScript Developer,83zero Ltd,https://www.linkedin.com/company/83zero-ltd/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQGo6YlDs42uZg/company-logo_100_100/0/1547472913891?e=1675900800&v=beta&t=0aeUd6ex2EQrlutE7GT0ULp1CsuGAaxlWyN9OlvcFJQ,Hybrid,1 week ago,35 applicants,Full-time · Mid-Senior level
Senior Backend JavaScript Engineer,La Fosse Associates,https://www.linkedin.com/company/la-fosse-associates/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQEv2ZY9P5Wf7w/company-logo_100_100/0/1568878543728?e=1675900800&v=beta&t=uDrAaboUuYjShGl4V14AXgm1-LnYfuDmwpJHG8siyiA,Hybrid,3 days ago,15 applicants,"£90,000/yr - £110,000/yr · Full-time · Mid-Senior level"
Lead back end engineer - £110k,numi,https://www.linkedin.com/company/numiteam/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQGTVWIyAKdL3w/company-logo_100_100/0/1618840596731?e=1675900800&v=beta&t=ScEUA6QHNSK3WeH1S1kGNR6BoOthe1jCxSih-9YhIXo,Hybrid,1 week ago,59 applicants,"£90,000/yr - £110,000/yr · Full-time · Mid-Senior level"
