job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
"Backend Software Engineer (Remote, Spain based)",Joppy,https://www.linkedin.com/company/joppyme/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQHNArYkqUryNw/company-logo_100_100/0/1523877446418?e=1675900800&v=beta&t=1bo8WREvXFVafbVOa30V0EI4Dy8GbBOUQIEAjKmnmRM,Remote,3 days ago,25 applicants,Full-time
Desarrollador/a Senior JavaScript (Conocimientos React/Angular),atSistemas,https://www.linkedin.com/company/atsistemas/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQGkAbPV9mMndg/company-logo_100_100/0/1646817241810?e=1675900800&v=beta&t=xUqvRPWmj5RVbjlw_3-2izGPXW0GG8Brzk_5FFnsTi8,Remote,1 day ago,57 applicants,Full-time · Associate
Programador Frontend,CMV Consultores,https://www.linkedin.com/company/cmv-consultores/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4E0BAQE1XxejjclMHQ/company-logo_100_100/0/1519884368887?e=1675900800&v=beta&t=krOI6Vqs3_fx5m7F2D5XPI_nhZ3hOsqbV4rjGhFLSnc,Remote,1 month ago,38 applicants,Full-time · Entry level
Full Stack Engineer,Natural Cycles°,https://www.linkedin.com/company/naturalcycles/life/,European Economic Area,https://media-exp1.licdn.com/dms/image/C4E0BAQEdlaWMi6coDA/company-logo_100_100/0/1614587792459?e=1675900800&v=beta&t=4gvbDl2e3LEh-XZA_U9oCBqCCDLgdRAji14xWQsd7Fg,Remote,3 weeks ago,156 applicants,Full-time
Frontend Developer (100% remoto),Kaino,https://www.linkedin.com/company/kaino-consulting/life/,Spain,https://media-exp1.licdn.com/dms/image/C4D0BAQHVSLXblniBAA/company-logo_100_100/0/1598347676898?e=1675900800&v=beta&t=UwgVtjJ4bt5MWB4xHt3QouUlAUrVbS-gnDpYgiL74iw,Remote,3 days ago,125 applicants,Full-time · Mid-Senior level
Web Developer - Workplace Engineering,Canonical,https://www.linkedin.com/company/canonical/life/,"Sevilla La Nueva, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C560BAQEbIYAkAURcYw/company-logo_100_100/0/1650566106882?e=1675900800&v=beta&t=QwX_iUr7Vi0jN0p3C3Ik9-Zk2wPLe4LS1_rmTlvfD_o,Remote,2 weeks ago,2 applicants,Full-time · Entry level
Web Developer - Workplace Engineering,Canonical,https://www.linkedin.com/company/canonical/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C560BAQEbIYAkAURcYw/company-logo_100_100/0/1650566106882?e=1675900800&v=beta&t=QwX_iUr7Vi0jN0p3C3Ik9-Zk2wPLe4LS1_rmTlvfD_o,Remote,2 weeks ago,4 applicants,Full-time · Entry level
Senior Backend Software Engineer,kevin.,https://www.linkedin.com/company/kevineu/life/,European Union,https://media-exp1.licdn.com/dms/image/C4E0BAQGso7stzraSAA/company-logo_100_100/0/1661939775983?e=1675900800&v=beta&t=BXZxwxCAqkZmnxkRDXi6tBx1AKxD4dzltJrec256BHY,Remote,1 month ago,90 applicants,Full-time · Mid-Senior level
Java Fullstack Developer (Spain Remote),GEOTAB,https://www.linkedin.com/company/geotab/life/,Spain,https://media-exp1.licdn.com/dms/image/C560BAQHpAVLnc5DM5w/company-logo_100_100/0/1657205666999?e=1675900800&v=beta&t=SE5UaqSn42W2-iQ_szeCd3H-U2IAg7R7Bwx7Pj8PBsM,Remote,1 week ago,36 applicants,Full-time
"Back End Engineer, Digital",Medallia,https://www.linkedin.com/company/medallia-inc./life/,Spain,https://media-exp1.licdn.com/dms/image/C560BAQHrJrgsjZ5ucA/company-logo_100_100/0/1656681814096?e=1675900800&v=beta&t=PlI31Akxnx8QaeUcWaz20wcFSsDZKVpvBUQ3jfeZ98c,Remote,1 month ago,7 applicants,Full-time
